Neighbourhood,City,Neighbourhood Number,population_2016,english,percent_english,french,percent_french,non_official_languages,percent_nol,low_income,percent_low,midplus_income,percent_midplus,Americas,Brazil,Colombia,El Salvador,Guyana,Haiti,Jamaica,Mexico,Peru,Trinidad and Tobago,United States,Other places of birth in Americas,Europe,Bosnia and Herzegovina,Croatia,France,Germany,Greece,Hungary,Ireland,Italy,Netherlands,Poland,Portugal,Romania,Russian Federation,Serbia,Ukraine,United Kingdom,Other places of birth in Europe,Algeria,Egypt,Ethiopia,Kenya,Morocco,Nigeria,Somalia,South Africa; Republic of,Other places of birth in Africa,Asia,Afghanistan,Bangladesh,China,Hong Kong,India,Iran,Iraq,Japan,Korea; South,Lebanon,Pakistan,Philippines,Sri Lanka,Syria,Taiwan,Viet Nam,Other places of birth in Asia,Oceania and other places of birth,percent Americas,percent Brazil,percent Colombia,percent El Salvador,percent Guyana,percent Haiti,percent Jamaica,percent Mexico,percent Peru,percent Trinidad and Tobago,percent United States,percent Other places of birth in Americas,percent Europe,percent Bosnia and Herzegovina,percent Croatia,percent France,percent Germany,percent Greece,percent Hungary,percent Ireland,percent Italy,percent Netherlands,percent Poland,percent Portugal,percent Romania,percent Russian Federation,percent Serbia,percent Ukraine,percent United Kingdom,percent Other places of birth in Europe,percent Algeria,percent Egypt,percent Ethiopia,percent Kenya,percent Morocco,percent Nigeria,percent Somalia,percent South Africa; Republic of,percent Other places of birth in Africa,percent Asia,percent Afghanistan,percent Bangladesh,percent China,percent Hong Kong,percent India,percent Iran,percent Iraq,percent Japan,percent Korea; South,percent Lebanon,percent Pakistan,percent Philippines,percent Sri Lanka,percent Syria,percent Taiwan,percent Viet Nam,percent Other places of birth in Asia,percent Oceania and other places of birth
Agincourt North,Toronto,129,29113,7070,0.242846838,120,0.00412187,20570,0.706557208,12925,0.443959743,15880,0.545460791,1635,10,15,10,390,0,500,15,40,220,130,325,675,0,10,0,35,100,10,10,65,0,10,55,10,0,0,0,210,135,0,115,0,65,10,15,10,30,210,17220,40,35,8630,2450,945,35,70,45,65,20,295,1180,2210,10,115,495,600,20,0.056160478,0.000343489,0.000515234,0.000343489,0.013396077,0,0.017174458,0.000515234,0.001373957,0.007556762,0.004465359,0.011163398,0.023185518,0,0.000343489,0,0.001202212,0.003434892,0.000343489,0.000343489,0.00223268,0,0.000343489,0.00188919,0.000343489,0,0,0,0.007213272,0.004637104,0,0.003950125,0,0.00223268,0.000343489,0.000515234,0.000343489,0.001030467,0.007213272,0.591488339,0.001373957,0.001202212,0.296431148,0.084154845,0.032459726,0.001202212,0.002404424,0.001545701,0.00223268,0.000686978,0.01013293,0.040531721,0.075911105,0.000343489,0.003950125,0.017002714,0.02060935,0.000686978
Agincourt South-Malvern West,Toronto,128,23757,7080,0.298017426,140,0.005893,15505,0.652649745,10410,0.43818664,13065,0.549943175,1415,15,10,30,295,20,395,10,15,240,115,285,1075,0,0,0,65,200,20,0,300,0,35,10,30,30,25,20,200,135,10,50,20,55,0,10,45,10,155,12240,150,145,5920,1255,980,90,75,25,65,50,435,1030,1070,40,140,330,460,0,0.059561392,0.000631393,0.000420929,0.001262786,0.012417393,0.000841857,0.016626678,0.000420929,0.000631393,0.010102286,0.004840679,0.011996464,0.045249821,0,0,0,0.002736036,0.008418571,0.000841857,0,0.012627857,0,0.00147325,0.000420929,0.001262786,0.001262786,0.001052321,0.000841857,0.008418571,0.005682536,0.000420929,0.002104643,0.000841857,0.002315107,0,0.000420929,0.001894179,0.000420929,0.006524393,0.515216568,0.006313929,0.006103464,0.249189713,0.052826535,0.041251,0.003788357,0.003156964,0.001052321,0.002736036,0.002104643,0.018310393,0.043355643,0.045039357,0.001683714,0.005893,0.013890643,0.019362714,0
Alderwood,Toronto,20,12054,7360,0.610585698,105,0.008710801,4205,0.348846856,2545,0.211133234,9490,0.787290526,450,30,15,20,80,0,45,25,0,50,75,110,2380,65,105,15,95,20,30,20,370,20,485,250,60,35,35,245,200,335,0,10,10,10,0,0,10,0,55,1035,0,0,110,10,230,0,0,10,40,35,15,420,25,0,0,35,85,10,0.037332006,0.0024888,0.0012444,0.0016592,0.006636801,0,0.003733201,0.002074,0,0.004148001,0.006222001,0.009125601,0.197444832,0.005392401,0.008710801,0.0012444,0.007881201,0.0016592,0.0024888,0.0016592,0.030695205,0.0016592,0.040235606,0.020740003,0.004977601,0.0029036,0.0029036,0.020325203,0.016592003,0.027791604,0,0.0008296,0.0008296,0.0008296,0,0,0.0008296,0,0.004562801,0.085863614,0,0,0.009125601,0.0008296,0.019080803,0,0,0.0008296,0.003318401,0.0029036,0.0012444,0.034843206,0.002074,0,0,0.0029036,0.007051601,0.0008296
Annex,Toronto,95,30526,20645,0.67630872,705,0.023095067,7755,0.254045732,8745,0.286477101,19935,0.653049859,1630,60,40,10,45,0,175,60,60,80,780,295,2895,45,40,145,235,150,100,80,310,50,145,165,105,145,65,90,655,355,0,75,70,20,40,20,10,180,230,3045,25,55,620,230,210,350,35,90,365,20,135,175,30,20,120,70,515,85,0.053397104,0.001965538,0.001310358,0.00032759,0.001474153,0,0.005732818,0.001965538,0.001965538,0.002620717,0.025551988,0.009663893,0.094837188,0.001474153,0.001310358,0.004750049,0.007698356,0.004913844,0.003275896,0.002620717,0.010155277,0.001637948,0.004750049,0.005405228,0.003439691,0.004750049,0.002129332,0.002948306,0.021457119,0.011629431,0,0.002456922,0.002293127,0.000655179,0.001310358,0.000655179,0.00032759,0.005896613,0.007534561,0.099751032,0.000818974,0.001801743,0.020310555,0.007534561,0.006879382,0.011465636,0.001146564,0.002948306,0.01195702,0.000655179,0.00442246,0.005732818,0.000982769,0.000655179,0.003931075,0.002293127,0.016870864,0.002784512
Banbury-Don Mills,Toronto,42,27695,13985,0.504964795,410,0.014804116,12060,0.435457664,6845,0.247156526,20165,0.728109767,1335,40,100,10,155,0,220,50,0,225,300,230,3495,120,50,25,200,170,115,40,95,65,200,65,415,135,260,50,685,790,10,225,35,150,35,30,10,80,485,7255,35,75,1910,870,690,730,55,25,385,120,365,850,165,60,135,100,610,45,0.048203647,0.001444304,0.00361076,0.000361076,0.005596678,0,0.007943672,0.00180538,0,0.00812421,0.01083228,0.008304748,0.126196064,0.004332912,0.00180538,0.00090269,0.00722152,0.006138292,0.004152374,0.001444304,0.003430222,0.002346994,0.00722152,0.002346994,0.014984654,0.004874526,0.009387976,0.00180538,0.024733706,0.028525005,0.000361076,0.00812421,0.001263766,0.00541614,0.001263766,0.001083228,0.000361076,0.002888608,0.017512186,0.261960643,0.001263766,0.00270807,0.068965517,0.031413613,0.024914244,0.026358548,0.001985918,0.00090269,0.013901426,0.004332912,0.013179274,0.030691461,0.005957754,0.002166456,0.004874526,0.00361076,0.022025636,0.001624842
Bathurst Manor,Toronto,34,15873,6710,0.422730423,165,0.01039501,8140,0.512820513,5285,0.332955333,10300,0.648900649,920,30,120,35,55,0,140,50,20,35,115,335,3160,60,20,30,55,190,110,0,485,0,210,130,135,640,65,535,100,390,10,50,20,10,50,10,10,45,75,3680,15,45,305,25,205,190,55,10,170,40,45,1565,50,40,0,85,825,10,0.057960058,0.001890002,0.007560008,0.002205002,0.003465003,0,0.008820009,0.003150003,0.001260001,0.002205002,0.007245007,0.021105021,0.199080199,0.003780004,0.001260001,0.001890002,0.003465003,0.011970012,0.006930007,0,0.030555031,0,0.013230013,0.008190008,0.008505009,0.04032004,0.004095004,0.033705034,0.006300006,0.024570025,0.000630001,0.003150003,0.001260001,0.000630001,0.003150003,0.000630001,0.000630001,0.002835003,0.004725005,0.231840232,0.000945001,0.002835003,0.019215019,0.001575002,0.012915013,0.011970012,0.003465003,0.000630001,0.010710011,0.002520003,0.002835003,0.098595099,0.003150003,0.002520003,0,0.005355005,0.051975052,0.000630001
Bay Street Corridor,Toronto,76,25797,10610,0.411288134,450,0.017443889,13725,0.532038609,12500,0.484552467,13095,0.507617165,1050,75,60,10,85,10,85,85,35,95,325,205,1575,20,20,60,85,50,45,40,80,25,115,55,85,170,40,70,420,220,0,210,50,20,0,75,35,75,155,7180,20,100,2180,485,540,530,40,90,830,65,365,345,55,30,515,125,860,30,0.040702407,0.002907315,0.002325852,0.000387642,0.003294957,0.000387642,0.003294957,0.003294957,0.001356747,0.003682599,0.012598364,0.00794666,0.061053611,0.000775284,0.000775284,0.002325852,0.003294957,0.00193821,0.001744389,0.001550568,0.003101136,0.000969105,0.004457883,0.002132031,0.003294957,0.006589914,0.001550568,0.002713494,0.016280963,0.008528123,0,0.008140481,0.00193821,0.000775284,0,0.002907315,0.001356747,0.002907315,0.006008451,0.278326937,0.000775284,0.00387642,0.08450595,0.018800636,0.020932667,0.020545025,0.001550568,0.003488778,0.032174284,0.002519673,0.014148932,0.013373648,0.002132031,0.001162926,0.019963562,0.004845525,0.03333721,0.001162926
Bayview Village,Toronto,52,21396,7380,0.344924285,200,0.009347542,12920,0.603851187,7585,0.354505515,13565,0.633997009,925,80,100,20,60,0,140,40,45,80,130,245,1650,25,25,35,65,60,105,35,65,20,90,10,360,105,40,85,250,250,10,105,10,10,10,10,10,65,140,9635,85,20,2360,1270,450,2290,65,55,1070,55,105,630,175,20,235,100,675,35,0.04323238,0.003739017,0.004673771,0.000934754,0.002804262,0,0.006543279,0.001869508,0.002103197,0.003739017,0.006075902,0.011450738,0.077117218,0.001168443,0.001168443,0.00163582,0.003037951,0.002804262,0.004907459,0.00163582,0.003037951,0.000934754,0.004206394,0.000467377,0.016825575,0.004907459,0.001869508,0.003972705,0.011684427,0.011684427,0.000467377,0.004907459,0.000467377,0.000467377,0.000467377,0.000467377,0.000467377,0.003037951,0.006543279,0.450317816,0.003972705,0.000934754,0.110300991,0.059356889,0.021031969,0.107029351,0.003037951,0.002570574,0.050009348,0.002570574,0.004907459,0.029444756,0.008179099,0.000934754,0.010983361,0.004673771,0.031547953,0.00163582
Bayview Woods-Steeles,Toronto,49,13154,4575,0.34780295,120,0.0091227,7590,0.577010795,4160,0.316253611,8505,0.646571385,550,0,50,10,90,0,100,15,35,65,105,80,1145,10,15,25,75,45,80,0,70,10,45,30,140,100,20,50,245,140,0,65,0,50,0,0,0,40,100,5570,20,0,1945,920,195,1000,0,35,470,30,70,140,85,25,150,70,385,10,0.041812376,0,0.003801125,0.000760225,0.006842025,0,0.00760225,0.001140338,0.002660788,0.004941463,0.007982363,0.0060818,0.087045766,0.000760225,0.001140338,0.001900563,0.005701688,0.003421013,0.0060818,0,0.005321575,0.000760225,0.003421013,0.002280675,0.01064315,0.00760225,0.00152045,0.003801125,0.018625513,0.01064315,0,0.004941463,0,0.003801125,0,0,0,0.0030409,0.00760225,0.42344534,0.00152045,0,0.147863768,0.069940702,0.014824388,0.076022503,0,0.002660788,0.035730576,0.002280675,0.005321575,0.01064315,0.006461913,0.001900563,0.011403375,0.005321575,0.029268664,0.000760225
Bedford Park-Nortown,Toronto,39,23236,16805,0.723231193,300,0.012911,5520,0.237562403,4360,0.187639869,18755,0.807152694,1120,20,60,35,45,0,90,55,30,30,570,220,2085,0,20,40,160,80,95,50,225,10,170,30,65,175,35,115,455,335,10,55,20,30,55,0,10,190,85,3135,0,0,365,160,125,325,10,10,115,20,40,1410,20,0,40,55,455,30,0.048201067,0.000860733,0.0025822,0.001506283,0.00193665,0,0.0038733,0.002367017,0.0012911,0.0012911,0.0245309,0.009468067,0.089731451,0,0.000860733,0.001721467,0.006885867,0.003442933,0.004088483,0.002151833,0.00968325,0.000430367,0.007316233,0.0012911,0.002797383,0.007531417,0.001506283,0.004949217,0.019581684,0.014417284,0.000430367,0.002367017,0.000860733,0.0012911,0.002367017,0,0.000430367,0.008176967,0.003658117,0.134919952,0,0,0.015708384,0.006885867,0.005379583,0.013986917,0.000430367,0.000430367,0.004949217,0.000860733,0.001721467,0.060681701,0.000860733,0,0.001721467,0.002367017,0.019581684,0.0012911
Beechborough-Greenbrook,Toronto,112,6577,3420,0.519993918,60,0.0091227,2610,0.396837464,3195,0.485783792,3180,0.483503117,1290,80,10,30,120,0,450,0,10,85,60,425,1095,10,0,0,0,0,10,20,300,10,30,615,15,10,0,15,0,50,0,10,20,30,0,70,75,0,135,695,0,0,20,0,80,0,10,0,10,25,10,330,40,0,0,120,55,0,0.196138057,0.0121636,0.00152045,0.00456135,0.018245401,0,0.068420252,0,0.00152045,0.012923825,0.0091227,0.064619127,0.166489281,0.00152045,0,0,0,0,0.00152045,0.0030409,0.045613502,0.00152045,0.00456135,0.093507678,0.002280675,0.00152045,0,0.002280675,0,0.00760225,0,0.00152045,0.0030409,0.00456135,0,0.01064315,0.011403375,0,0.020526076,0.105671279,0,0,0.0030409,0,0.0121636,0,0.00152045,0,0.00152045,0.003801125,0.00152045,0.050174852,0.0060818,0,0,0.018245401,0.008362475,0
Bendale,Toronto,127,29960,12340,0.41188251,200,0.006675567,15565,0.519526035,12385,0.413384513,16725,0.558244326,2215,30,0,80,760,10,420,30,10,265,145,480,1885,20,15,40,80,485,15,25,175,25,130,75,90,60,50,20,320,260,10,85,105,90,10,10,15,40,295,11060,435,545,1680,635,1760,110,50,35,160,30,820,2175,1795,20,85,145,580,25,0.073931909,0.001001335,0,0.002670227,0.025367156,0.000333778,0.014018692,0.001001335,0.000333778,0.008845127,0.004839786,0.016021362,0.062917223,0.000667557,0.000500668,0.001335113,0.002670227,0.016188251,0.000500668,0.000834446,0.005841121,0.000834446,0.004339119,0.002503338,0.003004005,0.00200267,0.001668892,0.000667557,0.010680908,0.008678238,0.000333778,0.002837116,0.003504673,0.003004005,0.000333778,0.000333778,0.000500668,0.001335113,0.009846462,0.369158879,0.014519359,0.018190921,0.056074766,0.021194927,0.058744993,0.003671562,0.001668892,0.001168224,0.005340454,0.001001335,0.027369826,0.072596796,0.059913218,0.000667557,0.002837116,0.004839786,0.019359146,0.000834446
Birchcliffe-Cliffside,Toronto,122,22291,16600,0.744695168,355,0.01592571,4445,0.199407833,6125,0.274774573,15565,0.698263873,970,10,45,45,115,20,195,30,0,110,255,190,2215,35,20,25,150,125,40,145,165,40,50,85,90,80,10,60,845,240,0,25,50,20,0,30,0,30,105,2590,40,610,380,105,165,60,20,35,35,15,75,645,85,0,10,180,165,20,0.04351532,0.000448612,0.002018752,0.002018752,0.005159033,0.000897223,0.008747925,0.001345835,0,0.004934727,0.011439594,0.008523619,0.099367458,0.00157014,0.000897223,0.001121529,0.006729173,0.005607644,0.001794446,0.006504867,0.007402091,0.001794446,0.002243058,0.003813198,0.004037504,0.003588892,0.000448612,0.002691669,0.037907676,0.010766677,0,0.001121529,0.002243058,0.000897223,0,0.001345835,0,0.001345835,0.004710421,0.116190391,0.001794446,0.027365304,0.017047239,0.004710421,0.007402091,0.002691669,0.000897223,0.00157014,0.00157014,0.000672917,0.003364587,0.028935445,0.003813198,0,0.000448612,0.008075008,0.007402091,0.000897223
Black Creek,Toronto,24,21737,10355,0.476376685,125,0.005750564,10015,0.460735152,12860,0.591617979,8705,0.400469246,4035,10,80,195,1235,25,1020,70,45,165,70,1120,1580,0,10,10,10,35,110,0,845,10,85,130,40,65,10,40,85,85,0,40,20,55,10,415,305,0,830,5425,55,10,90,20,190,40,1255,10,35,25,95,740,440,100,10,1630,670,0,0.185628192,0.000460045,0.003680361,0.008970879,0.056815568,0.001150113,0.046924599,0.003220316,0.002070203,0.007590744,0.003220316,0.051525049,0.072687123,0,0.000460045,0.000460045,0.000460045,0.001610158,0.005060496,0,0.03887381,0.000460045,0.003910383,0.005980586,0.00184018,0.002990293,0.000460045,0.00184018,0.003910383,0.003910383,0,0.00184018,0.00092009,0.002530248,0.000460045,0.019091871,0.014031375,0,0.038183742,0.249574458,0.002530248,0.000460045,0.004140406,0.00092009,0.008740857,0.00184018,0.057735658,0.000460045,0.001610158,0.001150113,0.004370428,0.034043336,0.020241984,0.004600451,0.000460045,0.074987349,0.030823021,0
Blake-Jones,Toronto,69,7727,4955,0.641257927,175,0.022647858,2300,0.297657564,3020,0.390837324,4655,0.602433027,440,0,0,0,20,0,105,10,0,25,165,110,580,0,10,50,15,180,0,10,35,10,30,40,0,20,10,0,125,40,10,0,50,10,0,20,45,20,115,1105,50,20,485,60,125,30,0,10,15,0,40,50,35,10,30,40,110,25,0.056943186,0,0,0,0.002588327,0,0.013588715,0.001294163,0,0.003235408,0.021353695,0.014235797,0.075061473,0,0.001294163,0.006470817,0.001941245,0.02329494,0,0.001294163,0.004529572,0.001294163,0.00388249,0.005176653,0,0.002588327,0.001294163,0,0.016177042,0.005176653,0.001294163,0,0.006470817,0.001294163,0,0.002588327,0.005823735,0.002588327,0.014882878,0.143005047,0.006470817,0.002588327,0.062766921,0.00776498,0.016177042,0.00388249,0,0.001294163,0.001941245,0,0.005176653,0.006470817,0.004529572,0.001294163,0.00388249,0.005176653,0.014235797,0.003235408
Briar Hill-Belgravia,Toronto,108,14257,5475,0.384021884,105,0.007364803,7910,0.554815179,5275,0.369993687,8945,0.627411096,1620,135,170,35,125,0,285,95,35,115,80,560,3325,185,15,50,15,110,85,10,625,0,80,835,120,165,85,150,125,680,0,30,30,0,10,10,0,40,135,3350,0,10,105,25,100,50,0,25,90,10,15,2460,65,10,10,105,295,0,0.113628393,0.009469033,0.011923967,0.002454934,0.008767623,0,0.01999018,0.006663393,0.002454934,0.008066213,0.005611279,0.039278951,0.23321877,0.012976082,0.001052115,0.003507049,0.001052115,0.007715508,0.005961984,0.00070141,0.043838115,0,0.005611279,0.058567721,0.008416918,0.011573262,0.005961984,0.010521148,0.008767623,0.047695869,0,0.00210423,0.00210423,0,0.00070141,0.00070141,0,0.002805639,0.009469033,0.234972294,0,0.00070141,0.007364803,0.001753525,0.007014098,0.003507049,0,0.001753525,0.006312689,0.00070141,0.001052115,0.172546819,0.004559164,0.00070141,0.00070141,0.007364803,0.02069159,0
Bridle Path-Sunnybrook-York Mills,Toronto,41,9266,6015,0.649147421,200,0.021584287,2830,0.305417656,1280,0.138139434,7915,0.854198144,345,20,15,0,30,10,30,10,0,10,210,10,895,10,30,40,85,40,25,0,70,0,10,10,45,90,30,55,270,85,0,35,0,30,20,10,0,55,35,1715,0,0,515,270,70,350,0,15,155,25,40,20,20,0,35,25,165,20,0.037232894,0.002158429,0.001618821,0,0.003237643,0.001079214,0.003237643,0.001079214,0,0.001079214,0.022663501,0.001079214,0.096589683,0.001079214,0.003237643,0.004316857,0.009173322,0.004316857,0.002698036,0,0.0075545,0,0.001079214,0.001079214,0.004856464,0.009712929,0.003237643,0.005935679,0.029138787,0.009173322,0,0.00377725,0,0.003237643,0.002158429,0.001079214,0,0.005935679,0.00377725,0.185085258,0,0,0.055579538,0.029138787,0.0075545,0.037772502,0,0.001618821,0.016727822,0.002698036,0.004316857,0.002158429,0.002158429,0,0.00377725,0.002698036,0.017807036,0.002158429
Broadview North,Toronto,57,11499,6215,0.540481781,170,0.014783894,4535,0.39438212,4565,0.396991043,6770,0.588746848,715,15,50,10,55,0,105,55,20,90,155,155,2435,205,65,10,55,775,10,50,30,0,40,20,55,55,120,30,205,695,0,25,30,10,20,0,15,20,75,1430,35,45,205,45,115,90,10,30,45,10,85,440,55,25,0,35,160,25,0.06217932,0.001304461,0.004348204,0.000869641,0.004783025,0,0.009131229,0.004783025,0.001739282,0.007826768,0.013479433,0.013479433,0.211757544,0.017827637,0.005652665,0.000869641,0.004783025,0.067397165,0.000869641,0.004348204,0.002608923,0,0.003478563,0.001739282,0.004783025,0.004783025,0.01043569,0.002608923,0.017827637,0.060440038,0,0.002174102,0.002608923,0.000869641,0.001739282,0,0.001304461,0.001739282,0.006522306,0.12435864,0.003043743,0.003913384,0.017827637,0.003913384,0.01000087,0.007826768,0.000869641,0.002608923,0.003913384,0.000869641,0.007391947,0.038264197,0.004783025,0.002174102,0,0.003043743,0.013914253,0.002174102
Brookhaven-Amesbury,Toronto,30,17757,8275,0.466013403,100,0.005631582,8575,0.482908149,8535,0.480655516,9165,0.516134482,3560,205,185,195,295,10,930,95,50,155,55,1365,2100,0,0,25,45,55,40,20,715,0,140,805,10,35,50,10,95,55,10,15,130,30,0,140,185,0,560,3000,85,85,125,35,220,10,10,20,20,20,80,1025,230,10,10,860,165,0,0.200484316,0.011544743,0.010418427,0.010981585,0.016613167,0.000563158,0.052373712,0.005350003,0.002815791,0.008728952,0.00309737,0.076871093,0.11826322,0,0,0.001407895,0.002534212,0.00309737,0.002252633,0.001126316,0.040265811,0,0.007884215,0.045334234,0.000563158,0.001971054,0.002815791,0.000563158,0.005350003,0.00309737,0.000563158,0.000844737,0.007321056,0.001689475,0,0.007884215,0.010418427,0,0.031536859,0.168947457,0.004786845,0.004786845,0.007039477,0.001971054,0.01238948,0.000563158,0.000563158,0.001126316,0.001126316,0.001126316,0.004505266,0.057723715,0.012952638,0.000563158,0.000563158,0.048431604,0.00929211,0
Cabbagetown-South St. James Town,Toronto,71,11669,7935,0.680006856,350,0.029994001,2700,0.231382295,3740,0.320507327,7255,0.621732796,795,45,15,30,50,10,80,65,35,70,280,130,1290,10,15,55,85,15,40,15,20,35,50,40,40,80,35,50,505,220,0,35,0,15,10,15,0,40,80,1480,10,30,360,45,125,40,0,10,60,0,40,395,40,15,20,100,180,15,0.068129231,0.003856372,0.001285457,0.002570914,0.004284857,0.000856971,0.006855772,0.005570315,0.0029994,0.0059988,0.023995201,0.011140629,0.110549319,0.000856971,0.001285457,0.004713343,0.007284257,0.001285457,0.003427886,0.001285457,0.001713943,0.0029994,0.004284857,0.003427886,0.003427886,0.006855772,0.0029994,0.004284857,0.043277059,0.018853372,0,0.0029994,0,0.001285457,0.000856971,0.001285457,0,0.003427886,0.006855772,0.126831777,0.000856971,0.002570914,0.030850973,0.003856372,0.010712143,0.003427886,0,0.000856971,0.005141829,0,0.003427886,0.033850373,0.003427886,0.001285457,0.001713943,0.008569715,0.015425486,0.001285457
Caledonia-Fairbank,Toronto,109,9955,3875,0.389251632,100,0.010045203,5455,0.547965846,3270,0.328478152,6640,0.667001507,1250,85,25,85,80,0,180,95,15,65,45,550,2775,0,10,45,0,50,35,15,520,0,0,1895,10,20,10,0,45,125,0,0,20,10,10,0,0,10,60,1155,0,20,60,25,75,15,0,0,0,0,0,715,25,0,0,110,100,0,0.125565043,0.008538423,0.002511301,0.008538423,0.008036163,0,0.018081366,0.009542943,0.001506781,0.006529382,0.004520342,0.055248619,0.278754395,0,0.00100452,0.004520342,0,0.005022602,0.003515821,0.001506781,0.052235058,0,0,0.190356605,0.00100452,0.002009041,0.00100452,0,0.004520342,0.012556504,0,0,0.002009041,0.00100452,0.00100452,0,0,0.00100452,0.006027122,0.116022099,0,0.002009041,0.006027122,0.002511301,0.007533903,0.001506781,0,0,0,0,0,0.071823204,0.002511301,0,0,0.011049724,0.010045203,0
Casa Loma,Toronto,96,10968,8255,0.752644055,200,0.018234865,2180,0.198760029,2320,0.211524435,8470,0.772246535,740,40,50,0,20,0,55,65,10,25,325,145,1175,45,10,30,55,10,105,40,30,20,50,40,95,65,30,50,360,100,10,25,20,0,10,10,10,95,50,715,0,15,130,45,80,80,10,30,40,15,10,50,10,25,25,10,150,25,0.067469001,0.003646973,0.004558716,0,0.001823487,0,0.005014588,0.005926331,0.000911743,0.002279358,0.029631656,0.013220277,0.107129832,0.004102845,0.000911743,0.00273523,0.005014588,0.000911743,0.009573304,0.003646973,0.00273523,0.001823487,0.004558716,0.003646973,0.008661561,0.005926331,0.00273523,0.004558716,0.032822757,0.009117433,0.000911743,0.002279358,0.001823487,0,0.000911743,0.000911743,0.000911743,0.008661561,0.004558716,0.065189643,0,0.001367615,0.011852662,0.004102845,0.007293946,0.007293946,0.000911743,0.00273523,0.003646973,0.001367615,0.000911743,0.004558716,0.000911743,0.002279358,0.002279358,0.000911743,0.013676149,0.002279358
Centennial Scarborough,Toronto,133,13362,9135,0.683655141,130,0.009729082,3640,0.272414309,1945,0.145562042,11395,0.852791498,850,10,10,10,270,0,180,15,0,175,60,130,1375,10,15,10,70,55,25,25,135,15,135,50,100,70,45,20,405,175,0,20,50,45,0,20,10,10,55,2555,20,240,225,110,450,45,25,15,20,45,100,535,510,20,30,35,125,10,0.063613232,0.000748391,0.000748391,0.000748391,0.020206556,0,0.013471037,0.001122586,0,0.013096842,0.004490346,0.009729082,0.102903757,0.000748391,0.001122586,0.000748391,0.005238737,0.00411615,0.001870977,0.001870977,0.010103278,0.001122586,0.010103278,0.003741955,0.00748391,0.005238737,0.003367759,0.001496782,0.030309834,0.013096842,0,0.001496782,0.003741955,0.003367759,0,0.001496782,0.000748391,0.000748391,0.00411615,0.19121389,0.001496782,0.017961383,0.016838797,0.008232301,0.033677593,0.003367759,0.001870977,0.001122586,0.001496782,0.003367759,0.00748391,0.040038916,0.038167939,0.001496782,0.002245173,0.002619368,0.009354887,0.000748391
Church-Yonge Corridor,Toronto,75,31340,17950,0.572750479,920,0.029355456,11000,0.350989151,11850,0.37811104,18480,0.589661774,1740,115,90,20,135,10,170,135,65,190,380,430,2685,70,50,140,155,35,50,100,105,60,190,55,110,335,85,180,565,415,20,80,115,75,25,50,65,75,325,5640,40,85,1080,465,750,455,40,115,370,110,200,585,140,20,230,190,760,75,0.055520102,0.003669432,0.002871729,0.000638162,0.004307594,0.000319081,0.005424378,0.004307594,0.002074027,0.00606254,0.01212508,0.013720485,0.085673261,0.002233567,0.001595405,0.004467135,0.004945756,0.001116784,0.001595405,0.00319081,0.003350351,0.001914486,0.00606254,0.001754946,0.003509892,0.010689215,0.002712189,0.005743459,0.018028079,0.013241863,0.000638162,0.002552648,0.003669432,0.002393108,0.000797703,0.001595405,0.002074027,0.002393108,0.010370134,0.17996171,0.001276324,0.002712189,0.034460753,0.014837269,0.023931078,0.014518188,0.001276324,0.003669432,0.011805999,0.003509892,0.006381621,0.018666241,0.004467135,0.000638162,0.007338864,0.00606254,0.02425016,0.002393108
Clairlea-Birchmount,Toronto,120,26984,12770,0.473243403,300,0.011117699,11900,0.441002075,9750,0.36132523,16550,0.613326416,1615,20,60,50,295,10,355,15,20,300,140,350,2100,25,0,0,50,430,65,65,295,0,110,95,105,45,10,10,340,410,10,35,305,15,25,30,50,35,385,8495,145,1990,1105,165,515,100,10,35,55,10,875,2410,390,10,20,155,490,15,0.059850282,0.00074118,0.00222354,0.00185295,0.010932404,0.00037059,0.013155944,0.000555885,0.00074118,0.011117699,0.00518826,0.012970649,0.077823896,0.000926475,0,0,0.00185295,0.015935369,0.002408835,0.002408835,0.010932404,0,0.00407649,0.003520605,0.003891195,0.001667655,0.00037059,0.00037059,0.012600059,0.015194189,0.00037059,0.001297065,0.011302994,0.000555885,0.000926475,0.00111177,0.00185295,0.001297065,0.014267714,0.314816187,0.005373555,0.073747406,0.040950193,0.006114735,0.019085384,0.0037059,0.00037059,0.001297065,0.002038245,0.00037059,0.032426623,0.089312185,0.014453009,0.00037059,0.00074118,0.005744145,0.018158909,0.000555885
